ContactID Source,ContactID Match,Accuracy,Score
347,847,High,0.860
350,850,High,0.860
353,853,High,0.860
354,854,High,0.860
355,855,High,0.860
357,857,High,0.860
361,861,High,0.860
362,862,High,0.860
365,865,High,0.860
369,869,High,0.860
371,871,High,0.860
374,874,High,0.860
376,876,High,0.860
380,880,High,0.860
381,881,High,0.860
384,884,High,0.860
385,885,High,0.860
386,886,High,0.860
389,889,High,0.860
393,893,High,0.860
395,895,High,0.860
200,700,Medium,0.807
201,701,Medium,0.807
202,702,Medium,0.807
204,704,Medium,0.807
205,705,Medium,0.807
206,706,Medium,0.807
207,707,Medium,0.807
211,711,Medium,0.807
215,715,Medium,0.807
216,716,Medium,0.807
219,719,Medium,0.807
220,720,Medium,0.807
222,722,Medium,0.807
226,726,Medium,0.807
228,728,Medium,0.807
229,729,Medium,0.807
230,730,Medium,0.807
233,733,Medium,0.807
234,734,Medium,0.807
236,736,Medium,0.807
238,738,Medium,0.807
240,740,Medium,0.807
241,741,Medium,0.807
243,743,Medium,0.807
244,744,Medium,0.807
245,745,Medium,0.807
249,749,Medium,0.807
251,751,Medium,0.807
252,752,Medium,0.807
254,754,Medium,0.807
255,755,Medium,0.807
256,756,Medium,0.807
257,757,Medium,0.807
261,761,Medium,0.807
264,764,Medium,0.807
266,766,Medium,0.807
268,768,Medium,0.807
269,769,Medium,0.807
271,771,Medium,0.807
272,772,Medium,0.807
273,773,Medium,0.807
274,774,Medium,0.807
276,776,Medium,0.807
277,777,Medium,0.807
279,779,Medium,0.807
280,780,Medium,0.807
283,783,Medium,0.807
284,784,Medium,0.807
285,785,Medium,0.807
288,788,Medium,0.807
292,792,Medium,0.807
294,794,Medium,0.807
296,796,Medium,0.807
297,797,Medium,0.807
298,798,Medium,0.807
300,800,Medium,0.807
301,801,Medium,0.807
302,802,Medium,0.807
306,806,Medium,0.807
307,807,Medium,0.807
309,809,Medium,0.807
310,810,Medium,0.807
311,811,Medium,0.807
312,812,Medium,0.807
313,813,Medium,0.807
314,814,Medium,0.807
315,815,Medium,0.807
317,817,Medium,0.807
318,818,Medium,0.807
320,820,Medium,0.807
321,821,Medium,0.807
322,822,Medium,0.807
324,824,Medium,0.807
325,825,Medium,0.807
326,826,Medium,0.807
327,827,Medium,0.807
328,828,Medium,0.807
329,829,Medium,0.807
332,832,Medium,0.807
333,833,Medium,0.807
335,835,Medium,0.807
336,836,Medium,0.807
337,837,Medium,0.807
338,838,Medium,0.807
339,839,Medium,0.807
344,844,Medium,0.807
346,846,Medium,0.807
348,848,Medium,0.807
349,849,Medium,0.807
351,851,Medium,0.807
352,852,Medium,0.807
356,856,Medium,0.807
358,858,Medium,0.807
359,859,Medium,0.807
360,860,Medium,0.807
363,863,Medium,0.807
364,864,Medium,0.807
366,866,Medium,0.807
367,867,Medium,0.807
368,868,Medium,0.807
370,870,Medium,0.807
372,872,Medium,0.807
373,873,Medium,0.807
375,875,Medium,0.807
377,877,Medium,0.807
378,878,Medium,0.807
379,879,Medium,0.807
382,882,Medium,0.807
383,883,Medium,0.807
387,887,Medium,0.807
388,888,Medium,0.807
390,890,Medium,0.807
391,891,Medium,0.807
392,892,Medium,0.807
394,894,Medium,0.807
396,896,Medium,0.807
397,897,Medium,0.807
398,898,Medium,0.807
399,899,Medium,0.807
402,902,Medium,0.745
406,906,Medium,0.745
412,912,Medium,0.745
413,913,Medium,0.745
414,914,Medium,0.745
418,918,Medium,0.745
419,919,Medium,0.745
421,921,Medium,0.745
423,923,Medium,0.745
424,924,Medium,0.745
432,932,Medium,0.745
433,933,Medium,0.745
438,938,Medium,0.745
439,939,Medium,0.745
440,940,Medium,0.745
441,941,Medium,0.745
447,947,Medium,0.745
448,948,Medium,0.745
409,909,Medium,0.709
400,900,Medium,0.655
401,901,Medium,0.655
403,903,Medium,0.655
407,907,Medium,0.655
408,908,Medium,0.655
410,910,Medium,0.655
411,911,Medium,0.655
415,915,Medium,0.655
416,916,Medium,0.655
417,917,Medium,0.655
420,920,Medium,0.655
422,922,Medium,0.655
425,925,Medium,0.655
426,926,Medium,0.655
429,929,Medium,0.655
430,930,Medium,0.655
431,931,Medium,0.655
434,934,Medium,0.655
435,935,Medium,0.655
436,936,Medium,0.655
437,937,Medium,0.655
442,942,Medium,0.655
443,943,Medium,0.655
444,944,Medium,0.655
445,945,Medium,0.655
446,946,Medium,0.655
449,949,Medium,0.655
428,928,Low,0.600
796,983,Low,0.591
741,964,Low,0.564
574,964,Low,0.547
660,873,Low,0.537
483,796,Low,0.534
783,964,Low,0.524
36,618,Low,0.509
88,880,Low,0.509
111,774,Low,0.509
115,852,Low,0.509
153,704,Low,0.509
186,883,Low,0.509
198,811,Low,0.509
204,653,Low,0.509
263,857,Low,0.509
267,813,Low,0.509
274,611,Low,0.509
311,698,Low,0.509
313,767,Low,0.509
352,615,Low,0.509
357,763,Low,0.509
383,686,Low,0.509
411,651,Low,0.509
421,867,Low,0.509
441,831,Low,0.509
464,741,Low,0.509
536,618,Low,0.509
588,880,Low,0.509
611,774,Low,0.509
615,852,Low,0.509
653,704,Low,0.509
686,883,Low,0.509
698,811,Low,0.509
763,857,Low,0.509
767,813,Low,0.509
14,912,Low,0.488
17,922,Low,0.488
27,942,Low,0.488
30,948,Low,0.488
34,933,Low,0.488
42,915,Low,0.488
56,900,Low,0.488
56,925,Low,0.488
64,909,Low,0.488
67,924,Low,0.488
69,943,Low,0.488
70,921,Low,0.488
82,913,Low,0.488
88,909,Low,0.488
89,948,Low,0.488
97,917,Low,0.488
105,926,Low,0.488
106,928,Low,0.488
113,909,Low,0.488
116,947,Low,0.488
118,903,Low,0.488
119,919,Low,0.488
132,941,Low,0.488
135,924,Low,0.488
138,927,Low,0.488
148,926,Low,0.488
150,901,Low,0.488
152,930,Low,0.488
168,905,Low,0.488
173,931,Low,0.488
179,927,Low,0.488
186,917,Low,0.488
191,917,Low,0.488
196,904,Low,0.488
198,919,Low,0.488
201,901,Low,0.488
204,948,Low,0.488
215,915,Low,0.488
224,923,Low,0.488
224,940,Low,0.488
225,918,Low,0.488
226,949,Low,0.488
228,911,Low,0.488
229,921,Low,0.488
232,939,Low,0.488
242,930,Low,0.488
246,919,Low,0.488
247,914,Low,0.488
249,910,Low,0.488
266,904,Low,0.488
267,930,Low,0.488
286,903,Low,0.488
288,907,Low,0.488
289,931,Low,0.488
303,943,Low,0.488
304,919,Low,0.488
307,917,Low,0.488
313,926,Low,0.488
319,933,Low,0.488
323,914,Low,0.488
324,914,Low,0.488
340,910,Low,0.488
342,948,Low,0.488
350,930,Low,0.488
351,936,Low,0.488
358,949,Low,0.488
360,916,Low,0.488
361,944,Low,0.488
368,926,Low,0.488
391,921,Low,0.488
396,929,Low,0.488
399,929,Low,0.488
400,925,Low,0.488
404,904,Low,0.488
405,905,Low,0.488
423,940,Low,0.488
425,900,Low,0.488
427,927,Low,0.488
440,923,Low,0.488
452,912,Low,0.488
453,921,Low,0.488
456,918,Low,0.488
463,930,Low,0.488
465,932,Low,0.488
468,921,Low,0.488
469,911,Low,0.488
473,949,Low,0.488
476,920,Low,0.488
478,913,Low,0.488
487,930,Low,0.488
495,904,Low,0.488
499,919,Low,0.488
514,912,Low,0.488
517,922,Low,0.488
527,942,Low,0.488
530,948,Low,0.488
534,933,Low,0.488
542,915,Low,0.488
556,900,Low,0.488
556,925,Low,0.488
564,909,Low,0.488
567,924,Low,0.488
569,943,Low,0.488
570,921,Low,0.488
582,913,Low,0.488
588,909,Low,0.488
589,948,Low,0.488
597,917,Low,0.488
605,926,Low,0.488
606,928,Low,0.488
613,909,Low,0.488
616,947,Low,0.488
618,903,Low,0.488
619,919,Low,0.488
632,941,Low,0.488
635,924,Low,0.488
638,927,Low,0.488
648,926,Low,0.488
650,901,Low,0.488
652,930,Low,0.488
668,905,Low,0.488
673,931,Low,0.488
679,927,Low,0.488
686,917,Low,0.488
691,917,Low,0.488
696,904,Low,0.488
698,919,Low,0.488
701,901,Low,0.488
704,948,Low,0.488
715,915,Low,0.488
724,923,Low,0.488
724,940,Low,0.488
725,918,Low,0.488
726,949,Low,0.488
728,911,Low,0.488
729,921,Low,0.488
732,939,Low,0.488
742,930,Low,0.488
746,919,Low,0.488
747,914,Low,0.488
749,910,Low,0.488
766,904,Low,0.488
767,930,Low,0.488
786,903,Low,0.488
788,907,Low,0.488
789,931,Low,0.488
803,943,Low,0.488
804,919,Low,0.488
807,917,Low,0.488
813,926,Low,0.488
819,933,Low,0.488
823,914,Low,0.488
824,914,Low,0.488
840,910,Low,0.488
842,948,Low,0.488
850,930,Low,0.488
851,936,Low,0.488
858,949,Low,0.488
860,916,Low,0.488
861,944,Low,0.488
868,926,Low,0.488
891,921,Low,0.488
896,929,Low,0.488
899,929,Low,0.488
900,925,Low,0.488
923,940,Low,0.488
464,574,Low,0.475
51,728,Low,0.473
147,599,Low,0.473
160,873,Low,0.473
171,582,Low,0.473
204,831,Low,0.473
228,551,Low,0.473
331,704,Low,0.473
411,736,Low,0.473
464,783,Low,0.473
551,728,Low,0.473
582,671,Low,0.473
599,647,Low,0.473
704,831,Low,0.473
626,951,Low,0.467
698,999,Low,0.467
5,645,Low,0.443
64,613,Low,0.443
210,684,Low,0.443
283,656,Low,0.443
36,328,Low,0.427
155,362,Low,0.427
155,862,Low,0.427
160,373,Low,0.427
223,291,Low,0.427
223,791,Low,0.427
291,723,Low,0.427
362,655,Low,0.427
411,467,Low,0.427
536,828,Low,0.427
655,862,Low,0.427
723,791,Low,0.427
218,612,Low,0.406
451,626,Low,0.406
499,698,Low,0.406
16,996,Low,0.402
26,996,Low,0.402
49,993,Low,0.402
77,975,Low,0.402
106,982,Low,0.402
133,972,Low,0.402
133,974,Low,0.402
151,967,Low,0.402
184,967,Low,0.402
226,980,Low,0.402
236,967,Low,0.402
241,964,Low,0.402
246,967,Low,0.402
250,996,Low,0.402
263,955,Low,0.402
267,967,Low,0.402
283,964,Low,0.402
313,967,Low,0.402
357,955,Low,0.402
367,980,Low,0.402
378,998,Low,0.402
411,967,Low,0.402
421,980,Low,0.402
428,998,Low,0.402
472,974,Low,0.402
474,972,Low,0.402
516,996,Low,0.402
526,996,Low,0.402
549,993,Low,0.402
577,975,Low,0.402
606,982,Low,0.402
633,972,Low,0.402
633,974,Low,0.402
651,967,Low,0.402
684,967,Low,0.402
726,980,Low,0.402
736,967,Low,0.402
746,967,Low,0.402
750,996,Low,0.402
763,955,Low,0.402
767,967,Low,0.402
813,967,Low,0.402
857,955,Low,0.402
867,980,Low,0.402
878,998,Low,0.402
972,974,Low,0.402
